Country Name,Country Code,Custom_Series_Name,Custom_Series_Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Slovenia,SVN,Net migration rate,(Net migration rate),..,..,-0.0137555038540229,..,..,..,..,-0.00884862517815627,..,..,..,..,0.0102395058191462,..,..,..,..,0.0188267656402571,..,..,..,..,0.0357858887503442,..,..,..,..,0.0163882768713664,..,..,..,..,-0.00874581392017422,..,..,..,..,0.000748757777110873,..,..,..,..,0.00751956601304568,..,..,..,..,0.0194973346507297,..,..,..,..,0.00805528401061853,..,..,..,..,0.00483887827455444,..,..
Solomon Islands,SLB,Net migration rate,(Net migration rate),..,..,0.0188659628918746,..,..,..,..,0.0100538822023576,..,..,..,..,0.00249779776531133,..,..,..,..,-0.0116215306171533,..,..,..,..,-0.0138772230946208,..,..,..,..,-0.0296440896573361,..,..,..,..,-0.0202487916483583,..,..,..,..,-0.0139079313366614,..,..,..,..,-0.0193945323265171,..,..,..,..,-0.0289678378971495,..,..,..,..,-0.01438323646199,..,..,..,..,-0.0125747203783422,..,..
Somalia,SOM,Net migration rate,(Net migration rate),..,..,-0.000462038718009559,..,..,..,..,0.000591726791995021,..,..,..,..,0,..,..,..,..,0.3740212959178,..,..,..,..,-0.0687846509496607,..,..,..,..,-0.0598616522542895,..,..,..,..,-0.112674535021049,..,..,..,..,0,..,..,..,..,0,..,..,..,..,-0.0180500736408926,..,..,..,..,-0.0183559290976139,..,..,..,..,-0.0137089840723076,..,..
South Africa,ZAF,Net migration rate,(Net migration rate),..,..,0.00593073755720963,..,..,..,..,0.00976921294717307,..,..,..,..,0.00956377052551751,..,..,..,..,0.00276863565844576,..,..,..,..,0.00600316121339225,..,..,..,..,-0.00344049038584977,..,..,..,..,0.0220533360991153,..,..,..,..,0.0148857826239144,..,..,..,..,0.0170956964600029,..,..,..,..,0.0175534452438987,..,..,..,..,0.0174072928978222,..,..,..,..,0.0127547411861706,..,..
South Sudan,SSD,Net migration rate,(Net migration rate),..,..,0,..,..,..,..,0,..,..,..,..,0.00682791470022723,..,..,..,..,0.0144768291111661,..,..,..,..,0.0312536853303952,..,..,..,..,-0.0767984628240589,..,..,..,..,-0.20678256368867,..,..,..,..,0.0554359063909285,..,..,..,..,0.0645911187809742,..,..,..,..,0.10181561607088,..,..,..,..,-0.0098876300507621,..,..,..,..,-0.079829276771671,..,..
Spain,ESP,Net migration rate,(Net migration rate),..,..,-0.00624712998583068,..,..,..,..,-0.00446520321438578,..,..,..,..,0.00280281717370089,..,..,..,..,0.00210625992731413,..,..,..,..,-0.00113968268108798,..,..,..,..,-0.00174952368261293,..,..,..,..,0.00815344420897201,..,..,..,..,0.0232434520382744,..,..,..,..,0.0701930880803469,..,..,..,..,0.0502765583497025,..,..,..,..,-0.0111269618800825,..,..,..,..,0.00429246854629286,..,..
Sri Lanka,LKA,Net migration rate,(Net migration rate),..,..,-0.00458840597713776,..,..,..,..,-0.00330255240121294,..,..,..,..,-0.0111519323106935,..,..,..,..,-0.0166392323674055,..,..,..,..,-0.0257201261811419,..,..,..,..,-0.00825765419174485,..,..,..,..,-0.0144208480200595,..,..,..,..,-0.0249952086795987,..,..,..,..,-0.0235793009535694,..,..,..,..,-0.0262102533388193,..,..,..,..,-0.023734247246022,..,..,..,..,-0.0228470434620407,..,..
St. Kitts and Nevis,KNA,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,LCA,Net migration rate,(Net migration rate),..,..,-0.0999771468370134,..,..,..,..,-0.078448145725356,..,..,..,..,-0.0912708117768789,..,..,..,..,-0.0796113058525979,..,..,..,..,-0.066196647601415,..,..,..,..,-0.0327459191783334,..,..,..,..,-0.0354895598194131,..,..,..,..,-0.0102111812766296,..,..,..,..,-0.00504416783778358,..,..,..,..,0.026008267765854,..,..,..,..,0,..,..,..,..,0,..,..
St. Martin (French part),MAF,Net migration rate,(Net migration rate),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
